Course Title,CRN,Type,Days,Time,Location,Current Enrollment,Instructor
CSCI 6704 Adv Topics Computer Networks,13416,Lec,"T,R",1435-1555,Studley MCCAIN ARTS&SS AUD-1,25,Sampalli S.
CSCI 6706 Network Design and Management,13417,Lec,"T,R",0835-0955,Studley GOLDBERG COMPUTER SCIENCE BLDG 228,1,Zincir-Heywood N.
CSCI 6712 Wireless Technologies for IoT,13418,Lec,"T,R",1435-1555,Studley LSC-COMMON AREA C338,0,Lahoud S.
CSCI 6901 Directed Studies,13419,Lec,,C/D,Consult Department,0,McAllister M.
CSCI 6902 Doctoral Directed Studies,13420,Lec,,C/D,Consult Department,0,McAllister M.
CSCI 6998 Graduate Research Seminars 1,13421,Lec,"T,R",1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,4,McAllister M.
CSCI 6999 Research Sem Computer Science,13422,Lec,"T,R",1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,8,McAllister M.
CSCI 7900 Directed Research Project,13423,Lec,,C/D,Consult Department,2,McAllister M.
CSCI 7901 Doctoral Thesis Proposal,13424,Ths,,C/D,Consult Department,5,McAllister M.
CSCI 8799 Work Term,14477,WkT,,C/D,Consult Department,25,Heggie C.
CSCI 8873 Honours Seminar,10886,Lec,,C/D,Online-ASYNCHRONOUS SESSION,0,Arnold D.
CSCI 8874 Research Project 1,10887,Lec,,C/D,Consult Department,0,Fleming J.
CSCI 8875 Research Project 2,10888,Lec,,C/D,Consult Department,0,Fleming J.
CSCI 8890 Co-op Seminar,10889,Lec,,C/D,Consult Department,0,Staff
CSCI 8891 Co-op Work Term 1,10890,WkT,,C/D,Consult Department,56,Heggie C.
